backend,condition,size_mb,iterations,copy_mean_ns,copy_std_ns,total_mean_ns,total_std_ns,checksum
libc,cold,1,20,483318.20,6072.95,521746.40,5816.42,2061962
libc,pinned,1,20,80923.60,3077.96,120004.50,3128.67,2061962
libc,same,1,20,55113.35,4742.33,94561.10,4843.26,2061962
copier,cold,1,20,479566.35,118990.04,540372.90,120041.96,2061962
copier,pinned,1,20,124164.40,6530.15,171591.40,6810.61,2061962
copier,same,1,20,135992.50,16278.75,186074.75,24631.71,2061962
libc,cold,4,20,1929840.00,67482.66,2089457.85,69368.74,8255091
libc,pinned,4,20,327848.15,5969.52,485647.00,5961.14,8255091
libc,same,4,20,314053.00,2157.40,472177.80,2683.51,8255091
copier,cold,4,20,1699251.35,47481.89,1925131.60,51729.74,8255091
copier,pinned,4,20,441759.40,10313.44,606793.20,12965.10,8255091
copier,same,4,20,415114.90,8783.94,562110.40,9902.71,8255091
libc,cold,8,20,4905441.70,55296.37,5582345.55,55936.47,17053770
libc,pinned,8,20,998078.00,39366.45,1670872.25,39982.01,17053770
libc,same,8,20,829713.30,25419.06,1504315.20,31249.96,17053770
copier,cold,8,20,3115377.10,82702.31,3557306.05,98432.41,17053770
copier,pinned,8,20,985529.90,50523.52,1342070.95,62251.30,17053770
copier,same,8,20,907721.85,25804.01,1251568.25,28403.25,17053770
libc,cold,16,20,11073591.70,136228.56,12413355.10,134129.78,33011698
libc,pinned,16,20,2867329.15,16540.68,4208588.35,18260.65,33011698
libc,same,16,20,2796068.05,28009.74,4140079.85,29318.45,33011698
copier,cold,16,20,7114322.85,211321.33,8226703.10,241272.11,33011698
copier,pinned,16,20,2765140.35,44269.64,3952917.75,56595.63,33011698
copier,same,16,20,2720978.65,38612.57,3889091.45,47065.51,33011698
libc,cold,32,20,23675126.95,146928.45,26365985.25,149932.82,68198269
libc,pinned,32,20,6098531.30,38138.79,8787704.85,39765.05,68198269
libc,same,32,20,6080957.95,36051.91,8771600.10,38193.48,68198269
copier,cold,32,20,14823872.60,107013.20,17028591.65,105143.15,68198269
copier,pinned,32,20,6208335.50,318013.39,8830488.20,351868.10,68198269
copier,same,32,20,6115016.65,67990.07,8731532.00,79127.96,68198269
libc,cold,64,20,47568974.90,174037.13,52983438.35,249966.51,136389450
libc,pinned,64,20,12418511.20,47563.10,17787323.40,47801.64,136389450
libc,same,64,20,12401424.45,40694.28,17776416.10,54157.00,136389450
copier,cold,64,20,30027519.80,242984.94,34931874.60,241455.53,136389450
copier,pinned,64,20,12873672.95,104061.33,18206520.60,116142.71,136389450
copier,same,64,20,12956603.45,109057.73,18282208.55,109502.73,136389450
